,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
30339,True,0.55,0.62,0.29,False,False,542.78,1107.05,0.77,2.0,7.96,0.22
30344,False,0.41,0.27,0.34,False,False,456.25,664.08,0.24,1.0,9.58,0.72
30349,True,0.31,0.41,0.07,False,True,451.85,615.38,1.41,2.0,2.47,0.72
30354,True,0.3,0.16,0.16,False,False,469.85,570.69,0.54,2.0,7.73,0.7
30359,False,0.22,0.46,0.33,False,True,306.13,578.2,1.44,0.0,10.52,0.62
30364,False,0.08,0.25,0.28,False,False,291.72,488.36,1.57,1.0,7.86,0.31
30369,True,0.2,0.56,0.25,False,False,336.41,505.77,1.54,1.0,7.19,0.67
30374,False,0.1,0.1,0.29,False,False,295.63,328.72,0.05,1.0,7.88,0.58
30379,True,0.14,0.58,0.05,False,False,442.99,408.07,0.82,2.0,1.3,0.82
30380,True,0.14,0.05,0.14,False,False,332.32,342.22,0.62,5.0,2.69,0.48
30384,True,0.43,0.28,0.14,False,False,470.42,863.35,0.36,1.0,3.84,0.96
30389,False,0.04,0.11,0.39,False,False,267.4,214.15,0.5,2.0,12.19,0.46
30394,True,0.31,0.45,0.1,False,False,487.6,875.65,0.76,1.0,3.78,0.79
30399,False,0.27,0.17,0.27,False,True,413.19,544.47,0.69,1.0,8.72,0.55
30404,True,0.22,0.26,0.09,False,False,325.94,283.74,0.04,0.0,1.76,0.43
30409,False,0.04,0.0,0.22,False,False,255.44,152.3,0.13,2.0,4.26,0.65
30414,False,0.23,0.28,0.23,False,False,412.51,578.68,1.28,1.0,7.89,0.21
30419,True,0.26,0.26,0.21,False,False,422.19,874.09,0.46,2.0,8.82,0.87
30424,False,0.33,0.2,0.33,False,False,424.75,774.27,1.14,1.0,10.21,0.33
30429,True,0.23,0.29,0.13,False,False,414.44,467.49,0.78,1.0,3.98,0.62
30434,False,0.14,0.2,0.2,False,False,350.33,520.67,0.57,1.0,7.58,1.23
30439,True,0.14,0.2,0.17,False,False,343.26,446.59,0.68,1.0,6.67,0.91
30444,True,0.39,0.35,0.18,True,False,461.75,694.38,0.67,1.0,4.81,0.98
30449,False,0.28,0.11,0.46,False,False,403.23,1229.01,0.88,2.0,13.38,0.67
30454,True,0.25,0.41,0.19,True,False,366.0,622.16,1.58,1.0,7.72,0.68
