,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
432,False,0.38,0.45,0.29,False,False,435.51,797.82,1.86,5.0,7.4,1.28
437,True,0.22,0.29,0.26,False,True,417.98,496.86,0.8,5.0,5.54,0.83
442,False,0.04,0.11,0.18,False,False,324.2,269.6,0.0,6.0,6.52,0.64
447,True,0.25,0.35,0.07,False,False,455.46,997.73,0.35,6.0,1.52,0.64
452,True,0.3,0.3,0.2,True,False,442.66,528.35,0.1,6.0,4.55,0.63
457,False,0.1,0.23,0.27,False,False,314.64,385.86,0.63,5.0,7.57,1.13
462,True,0.42,0.28,0.11,False,True,436.41,1039.65,0.14,6.0,3.74,0.28
467,False,0.18,0.11,0.28,False,False,397.95,549.82,0.04,5.0,6.32,0.28
472,False,0.0,0.24,0.24,False,False,258.3,303.08,1.17,5.0,6.19,0.49
477,True,0.12,0.24,0.08,False,False,384.01,307.85,0.0,7.0,1.7,0.73
482,False,0.09,0.13,0.34,False,False,272.44,378.07,0.03,4.0,7.48,0.44
487,True,0.31,0.25,0.06,True,False,420.46,899.62,0.0,4.0,2.44,1.06
491,False,0.25,0.49,0.34,False,False,438.7,622.87,0.28,5.0,11.48,0.98
502,True,0.16,0.41,0.16,False,False,408.44,320.1,0.41,5.0,4.44,0.33
507,False,0.0,0.12,0.29,False,False,240.03,234.9,0.86,4.0,7.75,0.41
512,True,0.22,0.31,0.25,False,False,399.47,792.86,0.81,5.0,8.65,1.12
517,False,0.36,0.14,0.22,False,False,418.67,739.95,0.0,5.0,5.54,0.59
522,True,0.29,0.25,0.14,False,True,435.42,675.92,0.25,6.0,3.25,0.54
527,False,0.25,0.18,0.32,False,False,400.79,623.65,0.0,6.0,8.59,0.29
532,False,0.19,0.3,0.41,False,False,286.39,561.75,0.3,4.0,10.97,0.45
537,True,0.33,0.41,0.22,False,False,422.68,510.0,0.63,4.0,3.68,1.34
542,True,0.32,0.19,0.1,False,False,505.05,568.22,0.1,7.0,2.82,1.62
547,False,0.06,0.13,0.23,False,False,337.8,527.83,0.0,6.0,6.5,0.55
552,True,0.41,0.41,0.22,True,False,450.33,875.02,0.48,5.0,6.15,0.56
557,False,0.11,0.15,0.26,False,False,326.09,445.07,0.33,5.0,7.6,0.48
562,False,0.19,0.14,0.26,False,False,290.91,349.4,0.47,3.0,7.1,0.61
567,True,0.26,0.17,0.09,False,False,394.29,479.49,0.07,5.0,4.3,1.09
572,False,0.07,0.33,0.41,False,False,308.07,448.22,0.89,5.0,10.0,0.97
577,True,0.22,0.33,0.11,False,False,369.96,374.2,0.04,4.0,3.23,0.74
582,False,0.32,0.14,0.22,True,False,443.03,713.48,0.19,6.0,6.44,0.32
587,True,0.11,0.35,0.22,False,False,346.79,446.58,1.06,4.0,7.12,0.68
592,False,0.35,0.1,0.21,False,False,435.85,959.58,0.14,6.0,3.87,0.31
597,True,0.24,0.59,0.14,True,False,440.42,1060.56,1.5,5.0,4.53,0.52
602,True,0.59,0.22,0.18,False,False,579.08,1037.67,0.7,7.0,5.47,0.7
607,False,0.3,0.18,0.22,False,False,414.16,616.56,0.48,5.0,3.84,0.67
612,True,0.08,0.19,0.04,False,False,275.73,359.32,0.92,4.0,1.3,0.92
617,False,0.08,0.31,0.04,False,False,256.79,321.4,1.53,3.0,0.0,0.31
622,True,0.22,0.33,0.0,False,False,493.01,653.88,0.0,7.0,0.0,0.58
627,False,0.04,0.07,0.15,False,False,257.05,371.73,0.0,5.0,2.91,0.66
632,True,0.17,0.33,0.1,False,False,416.08,896.63,0.0,5.0,2.41,1.12
637,False,0.46,0.33,0.2,False,False,496.96,1133.91,0.36,5.0,7.74,0.83
642,False,0.08,0.15,0.19,False,False,323.09,245.6,0.27,6.0,4.57,0.58
647,True,0.54,0.08,0.15,True,False,549.79,1012.02,0.15,6.0,5.11,0.69
652,True,0.2,0.28,0.18,False,False,427.77,675.7,0.0,7.0,6.84,1.44
657,False,0.38,0.15,0.3,False,False,437.42,706.84,0.28,5.0,10.35,0.81
662,False,0.3,0.27,0.41,False,False,433.43,917.85,0.34,6.0,11.19,0.64
667,True,0.27,0.24,0.27,False,False,419.17,731.78,0.3,5.0,8.49,0.47
672,True,0.47,0.22,0.07,False,False,482.85,668.95,0.87,6.0,0.95,0.15
677,False,0.11,0.33,0.22,False,False,318.27,546.74,1.42,5.0,6.81,0.84
682,True,0.16,0.13,0.16,False,False,363.48,525.96,0.86,6.0,3.09,0.57
687,False,0.19,0.19,0.19,False,False,363.51,603.51,0.64,7.0,5.96,0.54
692,True,0.27,0.31,0.13,False,False,494.34,577.64,0.27,7.0,3.1,0.63
697,False,0.09,0.27,0.31,False,False,286.08,678.63,0.0,4.0,7.63,0.22
702,True,0.2,0.39,0.1,False,False,413.11,379.06,0.0,6.0,1.17,0.29
707,False,0.1,0.2,0.39,False,False,293.64,281.21,0.2,4.0,5.09,0.29
712,True,0.34,0.32,0.11,False,False,434.29,643.69,0.0,6.0,4.53,0.57
717,False,0.09,0.2,0.2,False,False,320.79,378.93,0.06,5.0,5.93,0.8
722,True,0.37,0.15,0.18,False,False,442.55,471.81,0.18,6.0,5.85,0.29
727,False,0.15,0.07,0.22,False,False,346.41,588.59,0.0,7.0,5.34,0.52
732,True,0.61,0.42,0.15,False,False,618.11,1144.43,1.12,7.0,5.78,0.64
736,False,0.18,0.48,0.27,False,True,389.25,545.76,0.0,6.0,6.06,1.0
742,False,0.08,0.35,0.35,False,False,298.47,526.39,0.0,4.0,9.2,0.0
747,True,0.31,0.43,0.2,False,True,428.82,593.71,0.98,5.0,3.7,0.47
752,True,0.65,0.51,0.11,False,False,522.69,1196.64,1.99,5.0,1.88,0.25
757,False,0.07,0.18,0.43,False,True,241.26,241.11,0.0,3.0,10.73,0.33
762,False,0.23,0.3,0.13,False,False,396.84,403.75,0.2,6.0,2.96,0.43
767,True,0.13,0.3,0.1,False,False,379.32,452.09,0.26,4.0,2.14,0.4
772,True,0.75,0.26,0.04,True,False,629.75,1176.21,0.71,7.0,1.34,0.56
777,False,0.07,0.3,0.37,False,False,292.06,566.37,1.3,4.0,8.61,0.45
782,False,0.19,0.19,0.28,False,False,392.27,298.77,0.09,6.0,4.27,0.71
787,True,0.43,0.62,0.14,True,False,483.49,709.39,1.8,4.0,2.32,1.09
792,False,0.28,0.2,0.32,False,False,423.11,582.84,0.16,6.0,8.6,0.64
797,True,0.28,0.36,0.28,False,False,400.52,914.59,2.37,5.0,7.88,0.52
802,True,0.2,0.28,0.28,False,False,381.13,749.62,0.28,5.0,8.37,0.71
807,False,0.28,0.16,0.16,False,False,360.6,717.88,0.95,4.0,3.28,0.75
812,False,0.18,0.23,0.18,False,True,356.19,456.37,0.29,4.0,3.87,0.59
817,True,0.67,0.09,0.35,False,False,563.63,1243.46,0.73,7.0,11.04,0.79
822,True,0.7,0.16,0.0,True,False,470.84,706.87,0.38,4.0,0.0,0.21
827,False,0.0,0.05,0.32,False,False,207.52,287.76,0.7,3.0,5.16,0.32
832,False,0.07,0.26,0.26,False,False,288.22,449.74,0.33,4.0,8.06,0.46
837,True,0.39,0.59,0.16,True,False,524.41,1058.26,1.32,6.0,5.92,0.69
842,True,1.01,0.27,0.24,False,False,673.48,1763.16,0.44,6.0,5.71,0.87
847,False,0.07,0.3,0.2,False,True,371.5,394.86,0.0,7.0,6.42,0.13
852,False,0.11,0.22,0.3,False,False,335.63,608.69,0.34,6.0,7.87,0.63
857,True,0.11,0.45,0.19,False,False,400.07,489.74,0.52,6.0,4.48,0.52
862,True,0.41,0.37,0.07,False,False,480.67,876.85,0.41,6.0,1.15,0.7
867,False,0.07,0.11,0.15,False,False,299.96,666.93,0.11,5.0,3.37,0.44
872,False,0.27,0.23,0.31,False,True,386.38,742.98,0.12,4.0,9.04,0.7
877,True,0.08,0.16,0.08,False,False,338.32,353.18,0.23,4.0,1.67,0.5
882,False,0.0,0.12,0.31,False,False,249.37,324.27,0.16,4.0,6.31,0.31
887,True,0.35,0.67,0.2,True,False,520.08,925.37,0.59,5.0,5.61,0.47
892,True,0.16,0.37,0.24,False,False,373.89,730.35,0.0,5.0,8.07,0.37
897,False,0.04,0.08,0.24,False,False,344.85,267.01,0.16,7.0,5.17,0.16
902,False,0.79,0.18,0.51,False,False,549.65,1017.46,1.06,4.0,12.06,0.65
907,True,0.46,0.65,0.28,False,False,527.16,915.75,1.06,5.0,5.27,0.51
912,True,0.25,0.18,0.07,False,False,387.81,617.3,0.39,5.0,1.82,0.6
