,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
574,True,0.3,0.22,0.19,False,False,484.83,601.12,0.71,6.0,3.53,1.15
579,False,0.05,0.0,0.19,False,False,353.42,416.32,0.57,6.0,7.2,1.43
584,True,0.24,0.16,0.05,False,False,470.01,646.12,0.38,7.0,2.27,1.14
589,False,0.14,0.31,0.17,False,False,378.54,875.3,1.05,6.0,4.56,0.42
594,True,0.17,0.38,0.17,False,False,400.49,640.28,1.57,5.0,5.51,0.98
599,True,0.3,0.18,0.15,False,False,495.01,507.62,0.96,8.0,3.7,1.0
604,False,0.11,0.52,0.26,True,False,372.64,676.97,0.78,6.0,6.43,0.85
609,True,0.27,0.12,0.08,True,False,401.61,584.09,0.58,5.0,2.53,0.61
614,False,0.15,0.08,0.27,False,False,331.25,304.1,0.19,5.0,4.91,0.31
619,True,0.22,0.11,0.07,False,True,348.16,532.68,2.04,5.0,2.73,0.84
624,False,0.11,0.07,0.15,False,False,312.46,406.63,1.49,7.0,4.7,0.33
629,True,0.3,0.2,0.1,False,False,431.43,724.55,0.26,5.0,4.66,0.43
634,False,0.0,0.0,0.13,False,False,209.16,241.61,0.43,3.0,3.27,0.99
639,False,0.31,0.04,0.27,False,False,494.74,1051.9,1.38,7.0,9.22,0.42
644,True,0.08,0.35,0.12,False,False,372.99,403.03,0.38,5.0,2.77,0.73
649,True,0.33,0.18,0.2,False,False,454.23,914.94,1.01,6.0,8.0,0.71
654,False,0.1,0.15,0.33,True,False,449.22,650.38,0.18,7.0,11.47,1.19
659,False,0.03,0.27,0.41,False,False,325.69,772.45,0.74,6.0,11.63,0.24
664,True,0.34,0.2,0.14,False,False,447.87,843.04,0.71,6.0,3.58,1.08
669,True,0.36,0.47,0.25,True,False,414.09,576.01,1.02,3.0,7.28,0.66
674,False,0.11,0.33,0.47,False,False,287.44,518.71,0.4,4.0,12.23,0.18
679,True,0.16,0.22,0.22,True,False,304.85,606.63,1.18,4.0,7.43,0.48
684,False,0.16,0.1,0.29,False,False,365.77,721.95,0.99,6.0,9.63,0.38
689,True,0.09,0.18,0.09,False,False,299.46,286.84,0.18,5.0,2.56,0.72
694,False,0.13,0.0,0.18,False,False,434.8,568.16,0.54,7.0,5.7,0.4
699,True,0.1,0.2,0.1,False,True,379.94,340.41,0.29,7.0,1.37,0.1
704,False,0.2,0.1,0.2,False,False,350.49,422.6,0.68,6.0,3.23,0.0
709,True,0.4,0.37,0.32,True,False,445.87,1031.48,0.63,4.0,10.75,0.77
