,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
13780,True,0.35,0.22,0.17,False,False,379.14,662.98,1.08,4.0,5.53,1.12
13785,True,0.39,0.51,0.19,False,False,465.84,1103.42,0.97,6.0,5.76,1.21
13790,False,0.08,0.35,0.27,False,False,303.5,616.34,1.75,5.0,8.68,0.51
13795,False,0.1,0.05,0.25,False,False,301.53,466.82,0.45,5.0,7.57,0.54
13800,True,0.1,0.25,0.1,False,False,303.76,214.14,0.45,5.0,1.93,0.59
13805,True,0.21,0.24,0.03,False,True,435.58,439.22,0.65,5.0,1.2,0.76
13810,False,0.1,0.17,0.34,False,False,251.58,1250.45,1.03,4.0,9.17,0.45
13815,True,0.22,0.22,0.19,False,False,350.73,724.09,1.36,3.0,6.44,0.53
13820,False,0.15,0.32,0.12,False,False,339.61,653.16,0.68,4.0,4.52,0.44
13825,False,0.32,0.19,0.19,False,False,386.7,637.54,0.13,5.0,5.92,0.82
13830,True,0.6,0.25,0.29,True,False,609.69,859.9,1.46,3.0,9.79,0.98
13835,False,0.13,0.19,0.35,False,False,315.5,564.93,0.03,5.0,11.23,0.51
13840,True,0.19,0.25,0.16,False,True,426.73,783.29,1.15,7.0,5.98,0.25
13845,False,0.49,0.13,0.31,False,False,441.23,741.1,0.09,4.0,7.56,0.62
13850,True,0.27,0.22,0.35,False,False,359.61,615.42,0.22,3.0,10.83,0.35
13855,True,0.34,0.15,0.15,True,False,394.35,662.93,0.63,5.0,3.6,0.83
13860,False,0.05,0.19,0.29,False,False,280.57,288.7,1.27,5.0,8.62,0.58
13865,False,0.04,0.28,0.28,True,False,245.78,361.01,0.89,3.0,6.17,0.41
13870,True,0.49,0.49,0.32,False,False,517.51,866.21,0.49,4.0,7.68,0.45
13875,False,0.03,0.06,0.36,False,False,222.11,229.58,0.23,2.0,10.7,0.0
13880,True,0.58,0.06,0.13,False,False,501.55,846.75,0.1,6.0,4.91,1.1
13885,False,0.24,0.35,0.24,False,False,385.84,1034.11,0.24,5.0,9.83,0.88
13890,True,0.13,0.35,0.24,False,False,296.47,534.28,0.84,3.0,8.77,0.91
13895,False,0.17,0.24,0.17,False,False,370.47,1084.3,2.66,5.0,6.29,0.48
13900,True,0.24,0.17,0.28,False,False,331.5,509.16,0.73,4.0,9.75,0.35
13905,True,0.08,0.27,0.14,False,False,318.26,503.35,1.24,4.0,5.2,0.66
13910,False,0.11,0.25,0.16,False,False,337.39,501.24,0.19,5.0,6.82,0.58
13915,True,0.11,0.34,0.2,False,False,311.46,510.31,0.51,5.0,6.39,1.21
13920,False,0.34,0.23,0.2,False,False,421.89,1362.25,2.11,6.0,5.04,0.42
13925,False,0.0,0.04,0.18,False,False,274.19,110.06,0.09,5.0,4.37,0.26
13930,True,0.57,0.31,0.09,False,False,614.69,1304.01,0.18,8.0,3.31,0.4
13935,False,0.13,0.09,0.3,False,False,377.66,499.66,0.82,7.0,7.79,0.43
13940,True,0.22,0.56,0.0,False,False,421.48,374.9,0.73,5.0,0.0,0.39
13945,True,0.29,0.0,0.1,False,False,356.53,435.24,0.48,6.0,1.36,0.58
13949,False,0.1,0.0,0.29,False,False,259.44,174.83,0.39,4.0,3.39,0.1
13954,True,0.08,0.39,0.18,True,False,340.42,757.04,1.53,5.0,8.17,0.57
13959,False,0.23,0.31,0.16,False,False,390.41,743.17,1.3,5.0,4.77,1.09
13964,True,0.47,0.24,0.13,False,False,509.17,1019.87,0.54,7.0,3.54,1.25
13969,False,0.17,0.17,0.17,False,False,344.52,770.99,0.94,6.0,4.35,0.27
13974,False,0.36,0.22,0.29,False,True,395.54,570.14,0.83,4.0,9.24,1.05
13979,True,0.51,0.51,0.11,False,False,486.85,981.45,0.29,5.0,2.07,0.43
13984,True,0.31,0.0,0.0,False,False,384.92,164.0,0.31,4.0,0.0,0.31
13993,False,0.35,0.1,0.35,False,False,394.39,895.5,0.6,5.0,14.29,0.54
13998,True,0.19,0.41,0.16,False,False,395.15,861.01,1.65,6.0,5.23,0.44
14003,True,0.33,0.52,0.22,True,False,392.62,1076.55,0.36,4.0,7.71,0.88
14008,False,0.19,0.33,0.25,False,False,357.54,580.0,1.33,4.0,7.32,0.66
14013,True,0.31,0.31,0.17,False,False,370.59,924.07,1.12,4.0,6.29,0.55
14018,False,0.21,0.24,0.17,True,False,314.6,697.86,0.76,3.0,7.05,0.64
14023,False,0.15,0.3,0.37,False,False,302.3,414.17,0.48,4.0,11.06,0.59
14028,True,0.41,0.45,0.07,False,False,481.08,1032.91,0.56,6.0,2.41,0.71
14033,True,0.33,0.41,0.24,True,False,424.69,660.41,0.94,5.0,4.69,0.82
14038,False,0.29,0.08,0.37,False,False,405.88,450.24,0.12,6.0,9.92,0.33
14043,False,0.11,0.07,0.07,False,False,318.41,582.27,1.16,4.0,1.35,0.49
14048,True,0.37,0.15,0.0,False,False,348.63,479.2,0.0,3.0,0.0,0.45
14053,True,0.55,0.24,0.28,True,False,541.62,813.16,0.31,7.0,8.19,0.76
14058,False,0.0,0.31,0.31,False,False,312.99,573.02,0.9,5.0,6.67,0.41
14063,False,0.26,0.18,0.18,False,False,407.01,544.6,0.26,6.0,6.59,0.59
14068,True,0.26,0.34,0.26,False,False,396.87,1048.47,0.78,5.0,9.67,0.88
14073,False,0.3,0.15,0.25,False,False,417.94,496.12,0.25,6.0,8.3,0.35
14078,True,0.2,0.6,0.15,False,False,361.63,630.86,1.59,5.0,4.03,0.2
14083,False,0.16,0.08,0.37,False,False,344.04,586.75,0.72,5.0,12.05,0.35
14088,True,0.21,0.32,0.13,True,False,422.22,689.7,0.56,4.0,4.73,0.85
14093,False,0.24,0.19,0.05,False,False,380.36,363.93,0.81,4.0,1.29,0.43
14098,True,0.05,0.19,0.1,False,False,332.44,397.8,1.0,7.0,2.25,0.19
14103,True,0.62,0.12,0.25,False,False,553.19,778.38,0.56,6.0,4.94,0.5
14108,False,0.31,0.06,0.44,False,True,360.44,506.62,0.19,4.0,10.0,0.69
14113,False,0.39,0.07,0.21,True,False,435.21,682.81,0.39,5.0,9.84,0.8
14118,True,0.27,0.27,0.27,False,False,419.75,1040.55,0.71,6.0,8.84,1.03
14123,False,0.17,0.4,0.2,False,False,378.51,707.43,1.07,6.0,8.35,0.49
14128,True,0.09,0.14,0.2,False,False,360.43,444.93,0.69,6.0,5.96,0.4
14133,False,0.08,0.08,0.32,False,False,314.37,438.79,0.36,6.0,9.85,0.76
14138,True,0.32,0.36,0.08,True,False,446.04,846.48,0.12,6.0,3.0,0.52
14143,True,0.69,0.0,0.19,False,False,500.75,640.31,0.0,5.0,2.95,1.19
14153,False,0.11,0.22,0.3,False,False,358.01,511.96,0.11,6.0,8.3,0.55
14158,True,0.22,0.48,0.04,False,False,460.85,612.4,0.52,7.0,0.0,0.48
14163,True,0.2,0.22,0.1,False,False,363.01,992.9,0.7,5.0,4.71,0.35
14168,False,0.07,0.22,0.17,False,False,299.8,477.93,1.05,5.0,5.38,0.45
14173,True,0.4,0.18,0.0,True,False,455.5,571.28,0.0,6.0,0.0,0.66
14178,False,0.04,0.15,0.22,False,False,286.7,307.45,0.88,5.0,5.99,0.84
14183,False,0.0,0.1,0.67,False,False,202.12,145.95,0.05,3.0,13.06,0.0
14188,True,0.46,0.31,0.15,False,False,394.89,627.57,0.52,4.0,4.44,0.05
14193,False,0.14,0.11,0.25,False,False,353.65,671.09,1.12,5.0,7.51,0.39
14198,True,0.49,0.39,0.04,True,False,435.61,730.42,0.84,4.0,1.61,1.12
14203,False,0.38,0.16,0.3,False,False,479.03,1101.92,0.93,4.0,9.76,0.47
14208,True,0.16,0.3,0.36,False,True,374.81,769.13,0.25,4.0,13.62,0.47
14213,False,0.46,0.38,0.35,True,False,489.69,1035.6,0.76,5.0,13.51,0.46
14218,True,0.19,0.52,0.35,False,False,368.55,706.27,1.14,4.0,10.99,0.46
14223,False,0.29,0.17,0.17,False,False,366.88,845.24,0.99,4.0,5.48,1.19
14228,True,0.26,0.35,0.15,False,False,465.63,726.71,0.64,6.0,5.74,0.67
14233,False,0.43,0.15,0.18,True,False,500.95,1051.27,0.06,7.0,5.47,0.92
14238,True,0.31,0.18,0.15,False,False,512.09,821.04,0.49,7.0,5.25,0.55
14243,False,0.0,0.03,0.3,False,False,248.01,325.01,0.0,4.0,8.08,0.45
14248,True,0.6,0.42,0.06,True,False,577.03,1186.48,1.59,7.0,2.78,0.72
14253,False,0.57,0.2,0.37,True,False,507.89,1693.98,0.64,4.0,11.16,0.42
14258,True,0.44,0.17,0.32,False,False,444.75,1097.61,0.05,3.0,11.56,0.66
14263,True,0.41,0.15,0.05,False,False,489.38,471.33,0.36,7.0,0.62,0.31
14268,False,0.1,0.1,0.26,False,False,291.79,428.21,0.41,5.0,6.31,0.41
14273,True,0.13,0.33,0.23,True,False,397.06,645.73,2.03,6.0,7.82,0.88
14278,False,0.13,0.43,0.26,False,False,359.7,812.14,1.83,6.0,8.01,0.65
14283,True,0.22,0.47,0.18,False,False,349.23,1032.99,2.7,5.0,6.52,0.72
14288,False,0.14,0.07,0.29,False,False,297.48,440.22,0.14,5.0,9.04,0.47
14293,True,0.14,0.07,0.03,False,False,277.48,270.98,0.38,3.0,0.94,0.17
14298,False,0.07,0.07,0.07,False,False,271.61,430.17,0.0,4.0,1.4,0.38
14303,False,0.08,0.12,0.44,False,False,289.06,275.47,0.24,4.0,10.78,0.48
14308,True,0.44,0.4,0.0,False,False,484.11,802.3,1.55,6.0,0.0,0.59
14313,False,0.09,0.09,0.19,False,False,372.15,345.94,0.35,7.0,6.45,0.82
14318,True,0.19,0.31,0.22,False,False,377.63,754.59,1.07,6.0,8.59,0.88
14323,False,0.04,0.13,0.09,False,False,303.58,594.38,1.24,6.0,3.07,0.6
14328,True,0.26,0.26,0.0,False,False,498.51,867.84,0.3,9.0,0.0,1.11
14333,True,0.09,0.38,0.35,False,False,305.44,542.4,0.76,4.0,12.3,0.25
14338,False,0.41,0.13,0.38,False,False,437.02,854.85,0.16,5.0,12.84,0.54
14343,True,0.34,0.36,0.18,False,False,429.89,1166.51,0.78,6.0,8.65,0.65
14348,False,0.08,0.16,0.31,False,False,314.88,478.13,0.23,5.0,12.14,0.18
14353,False,0.33,0.06,0.22,False,False,410.86,758.52,0.28,5.0,9.83,0.58
14358,True,0.28,0.31,0.0,False,False,415.92,553.79,0.5,5.0,0.0,0.42
14363,True,0.39,0.39,0.08,True,False,442.3,764.42,1.11,5.0,2.73,0.39
14368,False,0.08,0.0,0.28,False,False,256.2,303.91,1.11,3.0,6.87,0.43
14373,False,0.23,0.04,0.23,False,False,362.22,722.98,0.27,5.0,6.42,0.23
14378,True,0.35,0.35,0.15,False,False,384.59,1044.93,1.27,5.0,5.3,0.58
14383,False,0.15,0.37,0.4,False,False,365.48,803.99,1.2,4.0,10.09,0.89
14388,True,0.61,0.37,0.28,True,False,650.77,1551.62,1.29,7.0,9.53,0.21
14391,True,0.45,0.21,0.18,False,False,567.2,973.21,1.64,8.0,6.88,0.81
14396,False,0.18,0.21,0.42,False,False,310.94,695.1,0.0,4.0,13.57,0.51
14403,False,0.3,0.23,0.2,False,False,392.16,812.75,1.03,5.0,8.32,0.78
14408,True,0.13,0.3,0.33,False,False,393.22,610.26,0.25,6.0,12.75,0.71
14415,True,0.23,0.41,0.05,False,False,414.07,706.72,1.13,5.0,0.72,0.59
14418,False,0.05,0.05,0.27,False,False,270.77,397.56,0.45,5.0,6.77,0.36
14423,True,0.65,0.19,0.24,False,False,534.91,1343.98,0.19,5.0,9.85,0.45
14428,False,0.22,0.22,0.26,False,False,380.86,1007.23,1.08,6.0,10.09,0.78
14433,False,0.16,0.04,0.36,False,False,314.11,333.81,0.0,5.0,8.59,0.53
14438,True,0.16,0.08,0.16,False,False,381.19,404.7,0.69,5.0,3.12,0.85
14443,False,0.36,0.27,0.27,False,False,417.32,871.89,0.25,5.0,10.29,0.34
14448,True,0.34,0.27,0.2,False,True,395.22,854.85,0.02,5.0,8.34,0.59
14453,False,0.06,0.0,0.12,False,False,277.6,343.78,0.24,7.0,3.64,0.91
14458,True,0.24,0.06,0.06,False,False,417.06,542.38,0.73,6.0,1.64,0.97
14463,True,0.17,0.53,0.14,False,False,360.17,754.81,1.12,5.0,4.3,0.45
14468,False,0.31,0.28,0.22,True,False,346.0,729.82,0.48,3.0,6.9,1.12
14473,True,0.1,0.16,0.26,False,False,352.47,465.36,0.19,4.0,8.64,0.42
14478,False,0.68,0.13,0.23,False,False,626.62,1755.39,1.04,7.0,8.93,0.58
14483,False,0.04,0.12,0.45,False,False,286.21,547.12,1.19,5.0,10.21,0.33
14488,True,0.25,0.29,0.08,False,True,408.23,444.24,0.74,5.0,1.52,0.49
14498,True,0.36,0.48,0.24,False,False,430.69,986.77,1.03,5.0,7.93,1.27
14503,False,0.05,0.21,0.27,False,False,334.4,409.42,1.22,6.0,5.64,0.96
14508,True,0.27,0.64,0.0,False,False,409.58,744.83,0.43,5.0,0.0,0.27
14513,True,0.92,0.0,0.19,True,False,685.24,1413.06,0.68,9.0,4.21,0.34
14518,False,0.19,0.0,0.44,False,False,292.36,567.73,1.02,5.0,12.29,0.63
14523,False,0.24,0.1,0.17,False,False,417.88,653.48,1.05,6.0,4.92,0.37
14528,True,0.2,0.27,0.1,False,False,468.44,729.79,0.51,7.0,2.71,1.02
14533,True,0.35,0.29,0.29,False,False,479.25,1209.48,0.88,6.0,11.24,0.7
14538,False,0.35,0.38,0.15,False,False,451.23,1090.05,1.35,5.0,4.87,0.97
14543,True,0.52,0.52,0.19,True,False,588.99,1059.17,0.77,7.0,4.87,0.93
14548,False,0.25,0.28,0.49,False,False,402.13,973.94,0.49,6.0,15.2,0.74
14553,False,0.04,0.08,0.16,False,False,289.32,320.78,0.37,6.0,3.42,0.78
14558,True,0.04,0.21,0.04,False,False,291.09,343.88,0.99,5.0,1.11,0.41
14563,False,0.22,0.17,0.22,False,False,356.03,395.25,0.31,5.0,6.71,0.31
14568,True,0.44,0.35,0.31,True,False,480.48,794.25,0.0,6.0,9.02,0.65
14573,True,0.44,0.0,0.38,False,False,383.97,455.6,0.75,5.0,7.33,0.56
14578,False,0.13,0.25,0.19,False,False,333.38,464.93,1.13,6.0,4.57,0.38
14583,False,0.08,0.04,0.25,False,False,263.51,393.05,0.0,5.0,7.49,0.59
14588,True,0.17,0.21,0.08,False,False,367.41,443.77,0.08,5.0,2.3,0.54
14593,True,0.11,0.11,0.18,False,False,348.82,589.64,0.56,7.0,5.57,0.6
14598,False,0.21,0.11,0.11,False,False,368.81,375.47,0.46,6.0,2.61,0.53
14603,False,0.08,0.08,0.34,False,False,273.04,311.0,0.38,5.0,8.76,0.76
14608,True,0.53,0.64,0.04,False,False,460.3,1004.78,0.68,4.0,1.55,0.57
14613,False,0.03,0.45,0.36,False,False,251.66,337.65,1.43,4.0,11.08,0.45
14618,True,0.1,0.13,0.13,False,False,389.51,220.11,0.26,5.0,3.67,0.45
14623,False,0.0,0.31,0.11,False,False,225.46,341.41,1.98,4.0,2.09,0.4
14628,True,0.31,0.25,0.11,False,False,499.41,1133.21,0.54,7.0,4.47,0.93
14633,False,0.41,0.15,0.3,True,False,453.46,995.12,0.07,6.0,9.83,0.33
14638,True,0.48,0.33,0.18,False,False,484.99,853.01,0.11,5.0,5.4,1.04
14643,True,0.19,0.19,0.1,False,False,442.51,439.71,0.77,9.0,1.16,0.58
14648,False,0.1,0.1,0.1,False,False,316.81,308.12,0.19,6.0,1.35,0.29
14653,False,0.07,0.21,0.29,False,False,244.94,530.23,1.0,3.0,7.41,0.36
14658,True,0.21,0.32,0.11,False,False,347.48,470.81,0.32,3.0,3.29,0.5
