,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
55499,False,0.0,0.54,0.17,False,False,219.78,152.07,0.47,0.0,4.0,1.04
55504,False,0.04,0.38,0.26,False,False,244.49,516.75,1.66,1.0,6.94,1.96
55509,True,0.04,0.34,0.11,False,False,258.98,219.89,1.02,1.0,3.77,1.06
55514,True,0.27,0.58,0.21,True,False,352.5,353.4,1.59,1.0,2.98,0.43
55519,False,0.16,0.21,0.21,False,False,283.1,329.65,2.6,1.0,4.41,0.9
55524,False,0.0,0.38,0.1,False,False,214.83,324.4,1.08,1.0,1.52,0.76
55529,True,0.06,0.35,0.13,False,False,281.7,228.49,1.05,1.0,4.1,1.02
55534,False,0.14,0.31,0.17,False,False,246.69,207.2,0.89,0.0,4.44,2.18
55539,True,0.03,0.38,0.17,False,False,280.03,561.19,0.65,2.0,3.17,1.5
55544,False,0.04,0.11,0.14,False,False,197.99,217.7,0.5,0.0,3.78,1.26
55549,True,0.04,0.47,0.07,False,False,313.24,300.07,2.01,1.0,2.01,1.91
55554,True,0.06,0.41,0.3,False,False,274.21,362.68,1.74,1.0,9.46,1.49
55559,False,0.06,0.33,0.36,False,False,248.3,480.09,0.47,1.0,11.72,1.99
55564,False,0.21,0.17,0.31,False,False,295.7,558.56,1.05,1.0,5.87,1.96
55569,True,0.03,0.73,0.24,False,True,287.18,185.12,1.33,2.0,5.45,1.85
55574,True,0.05,0.47,0.21,False,False,295.11,196.62,1.09,1.0,4.42,1.2
55579,False,0.05,0.26,0.42,False,False,287.31,480.4,0.68,1.0,8.94,1.46
55584,False,0.05,0.66,0.27,False,True,249.37,334.27,1.4,1.0,8.51,1.18
55589,True,0.17,0.69,0.2,False,False,357.64,1177.29,1.67,1.0,7.36,2.09
55594,False,0.0,0.0,0.07,False,False,176.16,60.38,0.22,1.0,0.73,0.59
55599,True,0.0,0.51,0.0,False,False,304.84,113.87,0.15,0.0,0.0,0.66
55604,True,0.03,0.73,0.07,False,True,278.3,215.74,1.21,1.0,1.66,1.94
55609,False,0.03,0.1,0.31,False,False,231.35,196.33,1.31,2.0,7.02,1.21
55614,True,0.22,0.56,0.22,False,False,356.18,711.69,1.48,1.0,7.01,1.06
55619,False,0.11,0.56,0.2,False,False,283.51,332.71,0.81,0.0,5.58,0.56
55624,True,0.56,0.35,0.32,False,False,489.37,936.84,0.61,3.0,9.54,1.22
55629,False,0.19,0.72,0.35,False,True,359.76,547.05,1.91,2.0,9.68,1.7
55634,False,0.0,0.0,0.07,False,False,200.61,162.45,1.43,1.0,1.09,0.61
55639,True,0.14,0.27,0.0,False,True,378.03,445.1,1.22,1.0,0.0,1.43
55644,True,0.18,0.65,0.33,True,False,348.63,582.3,0.94,2.0,8.56,1.81
55649,False,0.04,0.25,0.58,False,False,216.87,180.17,0.9,1.0,11.02,1.88
55654,True,0.0,0.48,0.17,False,False,266.99,292.93,1.28,1.0,4.45,2.48
55659,False,0.0,0.4,0.2,False,False,213.8,198.4,1.0,1.0,5.02,2.37
55664,False,0.12,0.39,0.27,False,False,285.86,445.94,0.89,2.0,7.22,2.91
55669,True,0.12,0.7,0.16,False,True,326.56,301.9,2.06,1.0,2.52,1.75
55674,True,0.29,0.42,0.34,False,True,413.42,960.39,1.47,2.0,12.24,1.01
55679,False,0.61,0.52,0.42,False,False,483.69,1541.79,1.94,2.0,10.54,2.63
55684,True,0.39,0.62,0.28,False,False,480.48,395.08,1.9,1.0,3.86,1.23
55689,False,0.17,0.45,0.39,False,True,360.07,660.23,0.84,2.0,7.05,1.34
55694,False,0.03,0.31,0.16,False,False,242.67,264.64,1.09,1.0,3.95,1.4
55699,True,0.06,0.78,0.09,False,False,309.34,415.03,1.09,1.0,3.39,2.12
55704,True,0.08,0.56,0.27,False,False,286.71,475.69,1.31,2.0,10.84,2.59
55709,False,0.19,0.48,0.19,False,False,342.56,1114.03,1.93,2.0,5.65,1.58
55714,True,0.24,0.45,0.19,False,False,338.96,1194.2,0.73,1.0,7.57,1.79
55719,False,0.02,0.4,0.31,False,False,226.8,379.94,0.87,1.0,10.51,1.7
55724,True,0.04,0.6,0.13,False,False,294.72,252.73,1.58,1.0,2.17,0.55
55729,False,0.04,0.3,0.34,False,False,250.77,161.29,1.11,0.0,7.33,0.47
55734,False,0.03,0.44,0.25,False,False,242.3,225.05,0.79,0.0,8.39,1.86
55739,True,0.11,0.79,0.14,False,False,339.29,391.61,1.12,1.0,3.99,2.19
55744,False,0.09,0.44,0.2,False,True,293.37,367.85,0.64,1.0,5.21,1.98
55749,True,0.15,0.64,0.03,False,False,345.1,626.3,2.71,1.0,1.48,1.92
55754,False,0.0,0.0,0.35,False,False,160.66,34.48,0.0,0.0,5.27,0.0
